INDEX,ILP,KSPFF,UNMASKED,MASKED,EQUNMASKED,EQMASKED
1,53,49,20,48,35,35
2,47,47,7,34,45,45
3,73,58,6,52,58,58
4,74,50,8,57,45,64
5,66,51,11,53,51,51
6,47,45,27,34,38,38
7,54,48,10,42,15,48
8,57,50,21,39,27,50
9,68,59,16,59,57,57
10,53,39,7,26,39,39
11,62,57,4,56,57,57
12,47,47,30,44,45,45
13,59,52,14,51,51,51
14,65,50,23,46,46,46
15,72,65,18,37,48,48
16,38,38,18,27,27,27
17,76,66,16,63,53,53
18,48,48,10,36,45,45
19,42,42,17,40,40,40
20,42,42,9,33,39,39
21,60,60,11,52,40,60
22,53,28,11,26,27,27
23,38,36,20,28,32,32
24,52,41,11,41,49,49
25,59,57,6,35,49,49
